,parametrizacao,metodo,ensaio,ambiente,sdr,sir,sar,pesq8,pesq16
0,1,ICA_kurt,L90,estudio,-1.2563511131366605,3.9491637133197255,-1.2516383478441109,-0.219,-0.2454999999999999
1,1,ICA_kurt,L90,estudio,-1.552906411804618,-2.9112621342896663,-1.5496427299095723,-0.1129999999999997,-0.17
2,1,ICA_kurt,L90,estudio,-0.4329029791412937,1.4357799124422836,-0.435534957960602,-0.1379999999999999,-0.0975
3,1,ICA_kurt,L90,estudio,-1.2959294037831923,4.159887636364767,-1.2859612128319755,-0.1809999999999999,-0.1995000000000001
4,1,ICA_kurt,L90,estudio,-1.316697168425141,2.0214707380047976,-1.3163004211413376,-0.2769999999999998,-0.2184999999999999
5,1,ICA_kurt,L90,estudio,-1.6427835550744967,7.483298280906261,-1.650927658126319,-0.1715000000000001,-0.1855000000000001
6,1,ICA_kurt,L90,estudio,-0.5868810530580002,-2.464562978311635,-0.5864451964055535,-0.1379999999999998,-0.1520000000000001
7,1,ICA_kurt,L90,estudio,-1.2052849171213071,3.1062298744370445,-1.2041533741443962,-0.1444999999999998,-0.1409999999999999
8,1,ICA_kurt,L90,estudio,-1.422086778356673,2.982699874432912,-1.4073790424173698,-0.2769999999999999,-0.3064999999999999
9,1,ICA_kurt,L90,estudio,-1.645877355496156,2.9551601949009463,-1.6665946045698368,-0.166,-0.1844999999999997
10,1,ICA_kurt,L90,estudio,-0.7090039239184791,-2.5680158684254177,-0.7086384719066472,-0.2009999999999998,-0.1884999999999999
11,1,ICA_kurt,L90,estudio,-1.373756819824385,-0.7312950846533326,-1.3561014976299186,-0.1975,-0.2749999999999999
12,1,ICA_kurt,L90,estudio,-1.2057441272760296,4.655332783002576,-1.1907290842486895,-0.2015000000000001,-0.2850000000000001
13,1,ICA_kurt,L90,estudio,-1.5041051218817678,3.96097543066341,-1.5093797190947342,-0.2179999999999999,-0.0840000000000001
14,1,ICA_kurt,L90,estudio,-0.4109280597636093,4.287178066228524,-0.4285327204698075,-0.1015,-0.1055
15,1,ICA_kurt,L90,estudio,-1.142988257387632,-0.670998122162521,-1.1115058781852942,-0.1644999999999999,-0.2365
16,2,ICA_negen,L90,estudio,-1.343686584100662,9.477169253158896,-1.3470520672075166,-0.2380000000000002,-0.136
17,2,ICA_negen,L90,estudio,-1.5490455716691427,-2.856703821364947,-1.5459281294462706,-0.1109999999999999,-0.2315000000000001
18,2,ICA_negen,L90,estudio,-0.4196694001203518,1.5629917657483698,-0.4223390134536888,-0.1414999999999999,-0.0989999999999998
19,2,ICA_negen,L90,estudio,-1.2987079419926963,4.20359629932217,-1.288693837858941,-0.1809999999999999,-0.1995000000000001
20,2,ICA_negen,L90,estudio,-1.3754247391198131,0.2505146345924451,-1.3741534454472573,-0.1584999999999997,-0.0884999999999998
21,2,ICA_negen,L90,estudio,-1.5912927141483224,-0.5603656493544484,-1.587294874306667,-0.1524999999999999,-0.253
22,2,ICA_negen,L90,estudio,-0.5697450797016335,-2.5303242958809573,-0.5692370012785837,-0.1375,-0.151
23,2,ICA_negen,L90,estudio,-1.243734407584315,2.088448585821165,-1.242679697609974,-0.1469999999999998,-0.16
24,2,ICA_negen,L90,estudio,-1.3860742204810117,2.7772124730440826,-1.3716148690303085,-0.2784999999999999,-0.3399999999999997
25,2,ICA_negen,L90,estudio,-1.6788046419943154,2.73676211250776,-1.699446010796117,-0.1630000000000001,-0.1829999999999999
26,2,ICA_negen,L90,estudio,-0.6229023914525151,-3.2296325608796987,-0.6222575172317808,-0.1239999999999998,-0.1109999999999999
27,2,ICA_negen,L90,estudio,-1.3398227351095735,-0.9167269724628042,-1.3224789195529862,-0.1974999999999998,-0.274
28,2,ICA_negen,L90,estudio,-1.344427267244363,6.244602428915739,-1.3340197715283766,-0.1985,-0.2424999999999999
29,2,ICA_negen,L90,estudio,-1.631504130703446,2.560782351779729,-1.6360235911656125,-0.1544999999999998,-0.0760000000000001
30,2,ICA_negen,L90,estudio,-0.3865427626785527,5.29376326019133,-0.404134796117892,-0.0995,-0.1079999999999999
31,2,ICA_negen,L90,estudio,-1.1240433927331672,-0.8334746946681424,-1.0931015758921263,-0.1534999999999998,-0.2825000000000001
32,3,ICA_ML,L90,estudio,-1.3501412395826111,5.33668436254016,-1.3435442496233945,-0.2039999999999999,-0.2675000000000002
33,3,ICA_ML,L90,estudio,-1.5642213520650872,-2.572787256305469,-1.5618919888216505,-0.1314999999999999,-0.1450000000000001
34,3,ICA_ML,L90,estudio,-0.4637580154140819,0.5630998696406291,-0.4662501969008694,-0.1319999999999999,-0.1039999999999999
35,3,ICA_ML,L90,estudio,-1.2326473024322036,3.48037767707932,-1.2235668949706051,-0.1799999999999998,-0.198
36,3,ICA_ML,L90,estudio,-1.396262592468367,-0.150514437220874,-1.3949807796580271,-0.1584999999999999,-0.0745
37,3,ICA_ML,L90,estudio,-1.536054357382722,0.8718564010670455,-1.532181318158817,-0.2565,-0.0904999999999999
38,3,ICA_ML,L90,estudio,-0.6146186933542928,-2.489556301449758,-0.6142190173617879,-0.14,-0.1554999999999999
39,3,ICA_ML,L90,estudio,-1.201130069311119,3.555779794525918,-1.2014950693923812,-0.1444999999999998,-0.1524999999999997
40,3,ICA_ML,L90,estudio,-1.4193261474295018,2.768478202063358,-1.398323807916384,-0.2769999999999999,-0.3069999999999998
41,3,ICA_ML,L90,estudio,-1.7008095842700608,2.840239826455912,-1.7215957748654818,-0.1609999999999999,-0.18
42,3,ICA_ML,L90,estudio,-0.5454399398808252,-3.0928165872643145,-0.5448706779442154,-0.2079999999999999,-0.1629999999999998
43,3,ICA_ML,L90,estudio,-1.2932718755274348,-0.9228598453400708,-1.2764353300316131,-0.1899999999999999,-0.2749999999999999
44,3,ICA_ML,L90,estudio,-1.319618856791302,6.154355212122875,-1.3023880094650095,-0.1985,-0.242
45,3,ICA_ML,L90,estudio,-1.6976965818149212,1.892008851343544,-1.7015600773575053,-0.1904999999999999,-0.2029999999999999
46,3,ICA_ML,L90,estudio,-0.4363894034215958,3.8875685355020657,-0.4540324661082917,-0.0944999999999999,-0.103
47,3,ICA_ML,L90,estudio,-1.1696567196500247,-0.7027802392498916,-1.1273996617969697,-0.1845,-0.2635000000000002
48,4,FDICAnat,L90,estudio,1.4543068675442852,8.703345258514966,1.4128052877968291,0.0249999999999999,0.0595
49,4,FDICAnat,L90,estudio,-0.0391235510017529,4.819446946092551,-0.0420972360204141,-0.0324999999999999,-0.1275000000000001
50,4,FDICAnat,L90,estudio,-0.3686301664445279,5.91362525001777,-0.3840501072993714,-0.1520000000000001,-0.1105
51,4,FDICAnat,L90,estudio,0.4511670675961241,12.124864227605038,0.4231413235015702,-0.2060000000000001,-0.208
