,metodo,ensaio,ambiente,sdr,sir,sar,pesq8,pesq16
9491,FDICAaux,P4,2419,0.7544698677811366,9.824060238670732,0.5860835969697409,0.0745,0.0525000000000002
9492,FDICAaux,P4,2419,-1.610873158284858,9.87172858055678,-1.613618517633374,-0.4329999999999999,-0.5215
9493,FDICAaux,P4,2419,-0.6066512593218045,4.436315152263607,-0.6252068307628116,0.1404999999999998,-0.0114999999999999
9494,FDICAaux,P4,2419,0.7778008408226007,0.5702534099045735,0.7778583553018221,0.1194999999999999,-0.0724999999999999
9495,FDICAaux,P4,2419,-0.647611578029365,1.5955519450133018,-0.6486689944551391,-0.0189999999999999,-0.1184999999999999
9496,FDICAaux,P4,2419,-0.0933325967021296,6.933132824167022,-0.2021788535392414,0.0310000000000001,0.1215
9497,FDICAaux,P4,2419,-0.5484239673635645,-0.7379050327982775,-0.5451705440981052,-0.1609999999999999,-0.1844999999999997
9498,FDICAaux,P4,2419,1.3404180570670716,1.783734643804891,1.3389086791475848,-0.256,0.0100000000000002
9499,FDICAaux,P4,2419,-0.686490392526897,5.853034441228627,-0.7586799077642459,0.1474999999999999,0.1855
9500,FDICAaux,P4,2419,1.4656961842086929,29.35133442221961,1.2889111612033284,-0.2275,0.255
9501,FDICAaux,P4,2419,-0.8327173175905986,-3.8345219162918287,-0.8237222154885584,-0.2995000000000001,-0.3744999999999998
9502,FDICAaux,P4,2419,0.3387794497996592,2.145137836567134,0.3386385628949884,0.0785,-0.0039999999999998
9503,FDICAaux,P4,2419,0.9324241214258088,10.490582877794049,0.7432458264689716,0.0465000000000001,-0.0189999999999999
9632,IVAng,P4,2419,-0.1119190631904443,6.238927515182204,-0.2707677141836884,-0.0739999999999999,-0.1469999999999999
9633,IVAng,P4,2419,1.3496336898299914,8.076646827841039,1.3484416457095798,0.2135,0.159
9634,IVAng,P4,2419,0.6886011986372664,-14.82549544646999,0.6923069043094063,0.1429999999999998,0.1224999999999999
9635,IVAng,P4,2419,-0.1889062132948646,8.1658656188669,-0.3782881811801595,0.1244999999999999,0.1959999999999999
