,parametrizacao,metodo,ensaio,ambiente,sdr,sir,sar,pesq8,pesq16
0,1,ICA_kurt,longe90,seminario,-1.382466034694219,-1.0270667155815896,-1.3847255339823301,-0.11590624999999999,-0.15009374999999997
1,2,ICA_negen,longe90,seminario,-1.2681642818701087,-1.1427221060054702,-1.2680269133419857,-0.11737499999999998,-0.13281249999999997
2,3,ICA_ML,longe90,seminario,-1.452766983287796,1.5813762880802442,-1.4571095723376846,-0.07728125000000002,-0.10259374999999998
3,4,FDICAnat,longe90,seminario,0.10950040964748634,3.0283930806474153,0.10771604511415102,0.06281250000000001,0.013874999999999992
4,5,FDICAnat,longe90,seminario,-0.0618347712073509,-0.3676995934302195,-0.060884817120148246,-0.0029062499999999852,-0.023718749999999997
5,6,FDICAnat,longe90,seminario,0.19041066126174647,2.3218484611607657,0.1854041807209042,-0.02425,-0.07953125000000003
6,7,FDICAnat,longe90,seminario,0.28067695253178954,4.461666363456223,0.27611578112250895,-0.0017499999999999807,-0.03612499999999997
7,8,FDICAnat,longe90,seminario,0.005993776127678957,2.064529080876645,-0.00017742660056323245,0.0042187499999999725,-0.040062499999999994
8,9,FDICAnat,longe90,seminario,-6.25360010707054,13.416143419780406,-6.266172134007015,-0.34878125,-0.4145937500000001
9,10,FDICAnat,longe90,seminario,-0.15725598773970811,-0.24124794321003218,-0.1551978625126768,-0.02834375,-0.09415625
10,11,fastFDICA,longe90,seminario,-1.3180445331246398,2.7289649178852002,-1.3249398350207024,0.07503125000000002,0.030874999999999958
11,12,fastFDICA,longe90,seminario,-1.27141239870878,1.965618748983021,-1.277990364570372,0.053437499999999985,0.009093749999999942
12,13,fastFDICA,longe90,seminario,-0.7825895477757013,0.1716324408241756,-0.7887294241705243,-0.04428124999999999,-0.05396874999999997
13,14,fastFDICA,longe90,seminario,-0.7086679083070105,-0.35125732834619183,-0.7151004537847214,-0.02850000000000002,-0.05840625
14,15,fastFDICA,longe90,seminario,-1.1059379070968407,1.7590362462347522,-1.1122723846271028,-0.008437499999999994,-0.046812499999999965
15,16,fastFDICA,longe90,seminario,-6.516551815950334,20.818758420913497,-6.529165904264971,-0.3606562499999999,-0.4457500000000001
16,17,fastFDICA,longe90,seminario,-0.9758495065040464,4.017801426702795,-0.9846112077014502,0.22775,0.18306249999999996
17,18,FDICAaux,longe90,seminario,0.17924254119100883,4.541520861519,0.17224500638137663,0.10615625000000001,0.03831250000000002
18,19,FDICAaux,longe90,seminario,0.09132542154279621,2.7734015106884793,0.08877519168758687,-0.025499999999999995,-0.06403125000000001
19,20,FDICAaux,longe90,seminario,0.09123920805293861,1.0846590196439698,0.0880652120374911,0.01440625000000003,-0.05318750000000001
20,21,FDICAaux,longe90,seminario,0.010666340074212438,0.5688722227756355,0.012044920964405029,0.008968749999999963,-0.03449999999999998
21,22,FDICAaux,longe90,seminario,-6.527906834855225,17.940766193881178,-6.54048742511733,-0.35334375,-0.4237812500000001
22,23,FDICAaux,longe90,seminario,-0.5984848079735361,-1.4171374631933795,-0.606024756700452,0.006750000000000048,-0.03184375000000001
23,24,IVAng,longe90,seminario,0.14456558599361752,4.8704316147112765,0.13745050494431565,0.08321875000000002,0.04965624999999992
24,25,IVAng,longe90,seminario,-0.17097569529525666,0.3272030521172967,-0.17562716017879187,-0.06253124999999997,-0.11331250000000001
25,26,IVAng,longe90,seminario,0.11273534383557601,1.4285699679546413,0.10532919265851622,0.061375,0.029156249999999995
26,27,IVAng,longe90,seminario,0.8029473924077071,6.181423779762558,0.796303874850132,0.31562499999999993,0.29640625
27,28,IVAng,longe90,seminario,0.13100117702052191,1.5706953028497153,0.12508973276337737,0.08134375,0.03406249999999996
28,29,fastIVA,longe90,seminario,0.42133587059650635,6.53179722021966,0.41630941845046004,0.21824999999999997,0.18887499999999996
29,30,fastIVA,longe90,seminario,0.26338696559328834,2.1732845466254638,0.258935131077609,0.17140625000000007,0.16753125000000002
30,31,fastIVA,longe90,seminario,0.6197902783768013,7.217685537401961,0.6107826133336796,0.27293749999999994,0.25596874999999997
31,32,fastIVA,longe90,seminario,0.2459775017207619,1.813507514468403,0.24227246493564097,0.14265625,0.09934375
32,33,IVAaux,longe90,seminario,0.2694600887033404,2.6656334610806347,0.2655031256702435,0.13253125000000004,0.08821874999999998
33,34,IVAaux,longe90,seminario,0.19793856900201287,2.991415407429992,0.19171115426985236,0.13278125000000007,0.08165625000000001
34,35,IVAaux,longe90,seminario,0.9098898465386176,4.747281834449682,0.9020979740606357,0.3494375,0.3366562500000001
35,36,IVAaux,longe90,seminario,0.09155738205801808,2.5628785220830292,0.08515488572292053,0.03574999999999998,0.01399999999999997
36,1,ICA_kurt,longe4,seminario,-1.9128679305088883,4.592454994227555,-1.919086741205724,-0.11153125000000003,-0.11875
37,2,ICA_negen,longe4,seminario,-1.9515351135070835,4.216783765747137,-1.9566617161799655,-0.12590625,-0.13837499999999997
38,3,ICA_ML,longe4,seminario,-1.976839310153717,4.429396161646747,-1.9809007021305765,-0.11509375000000005,-0.10868749999999994
39,4,FDICAnat,longe4,seminario,0.02416884796927865,6.237419019068183,0.022595697643781804,-0.07753125000000002,-0.057187499999999926
40,5,FDICAnat,longe4,seminario,-0.33261084149904735,4.465537227119964,-0.33243246814224736,-0.005843750000000043,-0.02587499999999998
41,6,FDICAnat,longe4,seminario,0.25085579130816216,2.4894115926594287,0.2459445149656578,-0.06403125000000007,-0.09081249999999996
42,7,FDICAnat,longe4,seminario,0.05456064494205777,8.351080312728811,0.04540843549861098,-0.04218750000000001,-0.051656249999999994
