,metodo,ensaio,ambiente,sdr,sir
615,FDICAnat,perto57,cefala,0.8043921251384238,-0.1416534885782856
622,fastFDICA,perto57,cefala,-2.645728406815873,-0.0263695531384516
629,FDICAaux,perto57,cefala,0.814706588292674,3.5313064856279537
638,IVAng,perto57,cefala,1.173948723205308,9.39626852967208
642,fastIVA,perto57,cefala,1.1545118425215022,8.578294913726152
646,IVAaux,perto57,cefala,1.0998462120977484,9.451078434537784
651,FDICAnat,longe90,2419,-0.2123448384201658,5.370619081422843
658,fastFDICA,longe90,2419,-0.6502280486551634,1.5881767818129355
665,FDICAaux,longe90,2419,-0.0963333526902384,6.084023169609334
674,IVAng,longe90,2419,-0.1567294857238105,2.64755617138784
678,fastIVA,longe90,2419,-0.2215335482959207,7.497490399504846
682,IVAaux,longe90,2419,-0.171180533390013,3.225084239619432
687,FDICAnat,longe4,2419,-0.1470473009903905,2.5887870553420456
694,fastFDICA,longe4,2419,-0.5308657384155104,5.708406773874259
701,FDICAaux,longe4,2419,0.1055390108969726,5.824855407149752
710,IVAng,longe4,2419,-0.2170625674046267,5.778639199521357
714,fastIVA,longe4,2419,-0.0093860517831604,3.713638264523153
718,IVAaux,longe4,2419,-0.115374663297472,3.762894820278018
723,FDICAnat,longe57,2419,0.335117535531261,3.853711446505939
730,fastFDICA,longe57,2419,-0.038664867592926,3.490215555143849
737,FDICAaux,longe57,2419,0.4308597688521232,3.249639249988272
746,IVAng,longe57,2419,0.1477629911098232,3.7297674398133527
750,fastIVA,longe57,2419,0.2317261189976998,4.7362887278375885
754,IVAaux,longe57,2419,0.2531657042684887,4.630626045664937
759,FDICAnat,media90,2419,-0.684173681676553,-0.73665778849244
766,fastFDICA,media90,2419,-1.1625102372376603,0.0184553036138157
773,FDICAaux,media90,2419,-0.3345886931794595,0.4559379233954769
782,IVAng,media90,2419,-0.3684829455583032,-1.8313255241183748
786,fastIVA,media90,2419,-0.3429157229933506,0.3411044909505372
790,IVAaux,media90,2419,-0.4590295699699058,2.7875919059513654
795,FDICAnat,media4,2419,-0.3932451799607048,0.3157171229670799
802,fastFDICA,media4,2419,-0.8775491057011509,2.845113522061728
809,FDICAaux,media4,2419,-0.5254005409876599,4.368983020735435
818,IVAng,media4,2419,0.4227721917021806,3.080870206649112
822,fastIVA,media4,2419,-0.0037512559371065,1.3003352701501196
826,IVAaux,media4,2419,-0.2604666338112849,1.3025083205101389
831,FDICAnat,media57,2419,-0.3216015228105849,4.032430184088756
838,fastFDICA,media57,2419,-1.1731663304592752,3.544274594418442
845,FDICAaux,media57,2419,-0.1540196233343221,2.970859589197793
854,IVAng,media57,2419,0.5776044455908236,6.653124482039031
858,fastIVA,media57,2419,0.5720045853499665,6.441533848705005
862,IVAaux,media57,2419,0.5023627487470699,7.477469112852063
867,FDICAnat,perto90,2419,-0.4489889150938372,6.272070389870563
874,fastFDICA,perto90,2419,-1.9245945590309523,3.8893173576829367
881,FDICAaux,perto90,2419,-0.3810908666108463,4.852015963328749
890,IVAng,perto90,2419,-0.4041842330803537,3.528899272290868
894,fastIVA,perto90,2419,-0.7922467910185884,0.4591778483361912
898,IVAaux,perto90,2419,-0.8874851901787864,3.123554586303514
903,FDICAnat,perto4,2419,-0.3601686174951524,2.2129143354247387
910,fastFDICA,perto4,2419,-1.9541229439185843,6.180042209370874
917,FDICAaux,perto4,2419,-0.0712521159040181,4.04360054742452
926,IVAng,perto4,2419,0.5101108441379202,2.987753408798405
930,fastIVA,perto4,2419,-0.1261239228719984,0.4241992776611184
934,IVAaux,perto4,2419,0.133357731245825,5.276308367845429
939,FDICAnat,perto57,2419,0.135183662606221,2.1892568170804227
946,fastFDICA,perto57,2419,-1.9556613119831188,-1.825716074654065
953,FDICAaux,perto57,2419,0.3369969198291994,4.010727684806319
962,IVAng,perto57,2419,0.4266830417196202,5.541505248891615
966,fastIVA,perto57,2419,0.3383268364145363,2.928126212786248
970,IVAaux,perto57,2419,0.3622528248541667,5.324066808931626
975,FDICAnat,longe90,seminario,0.1095004096474863,3.0283930806474157
982,fastFDICA,longe90,seminario,-1.3180445331246398,2.7289649178852
989,FDICAaux,longe90,seminario,0.1792425411910088,4.541520861519
998,IVAng,longe90,seminario,0.8029473924077071,6.181423779762558
1002,fastIVA,longe90,seminario,0.6197902783768013,7.217685537401961
1006,IVAaux,longe90,seminario,0.9098898465386176,4.747281834449682
1011,FDICAnat,longe4,seminario,0.0241688479692786,6.237419019068183
1018,fastFDICA,longe4,seminario,-0.8614748945943258,5.474656606021507
1025,FDICAaux,longe4,seminario,0.0643944868658716,1.0927480739444997
1034,IVAng,longe4,seminario,0.8659101161660108,11.135787622151833
1038,fastIVA,longe4,seminario,0.609392100501234,10.492681190777336
1042,IVAaux,longe4,seminario,0.7345156232027455,9.66872490062476
1047,FDICAnat,longe57,seminario,0.3660356531221406,2.402138371128509
1054,fastFDICA,longe57,seminario,-0.8410627394625202,4.005618875842959
1061,FDICAaux,longe57,seminario,0.6092023830775314,4.2424503002039655
1070,IVAng,longe57,seminario,0.7872820334503841,3.2393817255934376
1074,fastIVA,longe57,seminario,0.9867612633337794,4.18691850637631
1078,IVAaux,longe57,seminario,0.913712339774008,4.907910908798837
1083,FDICAnat,media90,seminario,-0.1536839728493817,0.385502715533632
1090,fastFDICA,media90,seminario,-1.3889086135305486,0.1440342198107852
1097,FDICAaux,media90,seminario,-0.3821473641014643,-1.263991506731962
1106,IVAng,media90,seminario,0.8757104807529354,0.7098465786730425
1110,fastIVA,media90,seminario,0.7198849616261863,1.632994352618956
1114,IVAaux,media90,seminario,0.7564521152749516,1.6125520737743138
1119,FDICAnat,media4,seminario,0.6546645290167936,5.759833381298794
1126,fastFDICA,media4,seminario,-2.3139424885954893,3.5831962899582126
1133,FDICAaux,media4,seminario,0.5617038910673604,6.824693842713593
1142,IVAng,media4,seminario,1.2692164657496203,7.25055512270951
1146,fastIVA,media4,seminario,1.0123304695479964,5.661125467649422
1150,IVAaux,media4,seminario,1.0272241450526174,6.470449852627908
1155,FDICAnat,media57,seminario,0.320788836745018,0.8835706874992139
1162,fastFDICA,media57,seminario,-1.6298746384527671,3.050005991295708
1169,FDICAaux,media57,seminario,0.4050431680980654,1.37987530033242
1178,IVAng,media57,seminario,1.3721326313982636,9.178088171437736
1182,fastIVA,media57,seminario,1.3776929008083785,8.84713575106878
1186,IVAaux,media57,seminario,1.3675275969671044,9.46842028713958
1191,FDICAnat,perto90,seminario,-1.0431024365098935,3.871019998742914
1198,fastFDICA,perto90,seminario,-1.8308346777485531,4.213664842458639
1205,FDICAaux,perto90,seminario,-1.0310198761738163,3.2142574488527007
1214,IVAng,perto90,seminario,-0.1702810692990149,2.384798055352065
1218,fastIVA,perto90,seminario,0.3353081325755389,0.8072806612940593
1222,IVAaux,perto90,seminario,0.27129587898018,2.868172893709614
1227,FDICAnat,perto4,seminario,2.1487459246176237,16.66251255140351
1234,fastFDICA,perto4,seminario,-2.9250961142738108,8.236874766314447
1241,FDICAaux,perto4,seminario,2.1300491719391377,16.383413807950923
1250,IVAng,perto4,seminario,1.8715363825628977,11.899125648217728
1254,fastIVA,perto4,seminario,1.7958777415580816,7.851802740525268
1258,IVAaux,perto4,seminario,1.798821654184876,12.01852822001565
1263,FDICAnat,perto57,seminario,1.6798443467340516,13.872425299270144
1270,fastFDICA,perto57,seminario,-1.0269944559184836,5.529058646045468
1277,FDICAaux,perto57,seminario,1.4984735668215403,15.680802447831956
1286,IVAng,perto57,seminario,1.5379042966916103,9.957589371302364
1290,fastIVA,perto57,seminario,1.6064777308714,11.108936254071716
1294,IVAaux,perto57,seminario,1.5007892478545788,11.66034016282837
