,parametrizacao,metodo,ensaio,ambiente,sdr,sir,sar,pesq8,pesq16
0,1,ICA_kurt,L90,seminario,-1.503103057329088,-8.889858859258219,-1.4893794427444649,-0.019000000000000017,-0.034499999999999864
1,1,ICA_kurt,L90,seminario,-1.3261715256467426,-4.816979846783642,-1.3210014857296837,-0.13,-0.10749999999999993
2,1,ICA_kurt,L90,seminario,-1.0084986686181385,1.290645732458806,-1.00862868509877,-0.11699999999999988,-0.14049999999999996
3,1,ICA_kurt,L90,seminario,-1.2172889974835117,4.774586672271967,-1.2270322245513239,-0.10849999999999982,-0.15000000000000002
4,1,ICA_kurt,L90,seminario,-1.6615763795486307,0.9268958872832727,-1.654715112602189,-0.14649999999999996,-0.1559999999999998
5,1,ICA_kurt,L90,seminario,-1.4824940345587505,-2.1410719519394945,-1.468876523197812,-0.12149999999999983,-0.29699999999999993
6,1,ICA_kurt,L90,seminario,-1.0240696299868177,-21.26433021847414,-1.0212112192348293,-0.1299999999999999,-0.14449999999999996
7,1,ICA_kurt,L90,seminario,-1.4439002476193947,9.240338719563137,-1.4567462382695096,-0.09350000000000003,-0.3460000000000001
8,1,ICA_kurt,L90,seminario,-1.7743327580227717,1.9385647625987765,-1.777540152619542,-0.15249999999999997,-0.20299999999999996
9,1,ICA_kurt,L90,seminario,-1.6007357904385604,5.694850744470713,-1.6433278061333774,-0.01849999999999996,-0.020999999999999797
10,1,ICA_kurt,L90,seminario,-1.3348717751764243,-1.8788271051378125,-1.3348503574652384,-0.1895,-0.30700000000000005
11,1,ICA_kurt,L90,seminario,-1.7283840088928004,4.836779239640448,-1.7382955370769866,-0.03400000000000003,-0.025000000000000022
12,1,ICA_kurt,L90,seminario,-1.6686896806046447,3.0993023306714473,-1.666947773102261,-0.26250000000000007,-0.09999999999999998
13,1,ICA_kurt,L90,seminario,-1.3112630929217162,-7.1013980748123995,-1.3041140745113766,-0.08999999999999986,-0.10950000000000004
14,1,ICA_kurt,L90,seminario,-0.8008715350483029,-4.261983260738056,-0.8005882816925394,-0.13150000000000006,-0.16800000000000004
15,1,ICA_kurt,L90,seminario,-1.2332053732112147,2.1194177788797663,-1.2423536296873758,-0.11000000000000021,-0.09199999999999997
16,2,ICA_negen,L90,seminario,-1.4875287716362746,-9.104522383187497,-1.4736304916083542,-0.03749999999999998,0.054500000000000104
17,2,ICA_negen,L90,seminario,-0.6997665356987515,2.8279121611184763,-0.6963502149687091,-0.029999999999999916,-0.12399999999999989
18,2,ICA_negen,L90,seminario,-0.9056837766554984,0.7825865956250198,-0.9058172796979211,-0.1449999999999999,-0.1479999999999998
19,2,ICA_negen,L90,seminario,-1.1188973389152599,5.381053713950495,-1.1276514025111564,-0.1080000000000001,-0.14900000000000013
20,2,ICA_negen,L90,seminario,-1.6283314316465975,1.3301360347872198,-1.6216135352428107,-0.14800000000000002,-0.15049999999999997
21,2,ICA_negen,L90,seminario,-1.1202240969346091,-2.1337300843713685,-1.1053513280626,-0.09499999999999986,-0.27449999999999997
22,2,ICA_negen,L90,seminario,-0.9994115344154779,-21.144577876058317,-0.9965669547457627,-0.13149999999999995,-0.14600000000000002
23,2,ICA_negen,L90,seminario,-1.6506296701224,5.7042525853137995,-1.663442304057505,-0.08649999999999991,-0.15200000000000014
24,2,ICA_negen,L90,seminario,-1.7604867166538678,2.0012608298423906,-1.763759230494685,-0.12350000000000005,-0.2220000000000001
25,2,ICA_negen,L90,seminario,-1.4705020827114945,-5.8743579974329645,-1.4548944003739674,-0.10349999999999993,-0.11499999999999988
26,2,ICA_negen,L90,seminario,-1.302842026266392,0.03162266361006871,-1.3028833283463614,-0.1609999999999998,-0.19400000000000006
27,2,ICA_negen,L90,seminario,-1.6988552773458627,4.122637632302935,-1.7083711622917035,-0.03400000000000003,-0.028000000000000136
28,2,ICA_negen,L90,seminario,-1.6219520740871425,8.97542419240379,-1.6449675818315497,-0.3044999999999999,-0.13700000000000012
29,2,ICA_negen,L90,seminario,-0.8957953767834692,-9.160481872726253,-0.8852537489384609,-0.131,-0.05850000000000011
30,2,ICA_negen,L90,seminario,-0.7994547972642443,-4.278436384339074,-0.7991717039349182,-0.13100000000000012,-0.1675000000000001
31,2,ICA_negen,L90,seminario,-1.1302670027843948,2.2556664930737593,-1.1387059463653062,-0.10799999999999998,-0.11350000000000005
32,3,ICA_ML,L90,seminario,-1.5604233738526,-8.558678002802118,-1.5420520761974068,-0.04750000000000021,0.017500000000000182
33,3,ICA_ML,L90,seminario,-1.552565344923817,-0.2593100725500115,-1.552495625457558,-0.035499999999999976,-0.009000000000000119
34,3,ICA_ML,L90,seminario,-1.285048743589512,-0.5891235942980515,-1.2851141849420613,-0.11199999999999999,-0.1429999999999999
35,3,ICA_ML,L90,seminario,-1.4738735490531578,4.110436561230367,-1.4850710095686754,-0.10850000000000004,-0.1090000000000001
36,3,ICA_ML,L90,seminario,-1.723351472577076,0.5166505927362905,-1.718525556243631,-0.14750000000000008,-0.1765
37,3,ICA_ML,L90,seminario,-1.2785309816850052,13.387181632808005,-1.2850911668397824,0.03700000000000003,-0.10400000000000009
38,3,ICA_ML,L90,seminario,-1.3031782727455945,-2.9631328080533628,-1.3031573263727825,-0.1399999999999999,-0.15750000000000008
39,3,ICA_ML,L90,seminario,-1.5136820724367388,12.903737225177768,-1.5265300961886348,-0.02399999999999991,-0.1499999999999999
40,3,ICA_ML,L90,seminario,-1.8117826616226347,1.9388843434015364,-1.815092250639574,-0.06700000000000006,-0.10049999999999992
