,parametrizacao,metodo,ensaio,ambiente,sdr,sir,sar,pesq8,pesq16
0,1,ICA_kurt,longe90,2419,-0.7982441679829579,0.4600349173424616,-0.7976653245804196,-0.10109375000000001,-0.10687500000000005
1,2,ICA_negen,longe90,2419,-0.7972678966010571,3.0026542002860284,-0.79674799632231,-0.14306250000000004,-0.015000000000000034
2,3,ICA_ML,longe90,2419,-0.7867596895947241,0.29276337876591296,-0.7866333820673935,-0.16515625,0.00040624999999996914
3,4,FDICAnat,longe90,2419,-0.2123448384201658,5.370619081422843,-0.21341626156619548,0.11384374999999997,0.02606249999999996
4,5,FDICAnat,longe90,2419,-0.10966241976190708,1.465174327524874,-0.10969024394953036,0.08368749999999998,0.07928125
5,6,FDICAnat,longe90,2419,0.12618303098017927,3.900747441333282,0.12544685768433828,0.04568749999999999,0.008249999999999966
6,7,FDICAnat,longe90,2419,0.2029042290688813,3.6710424421610357,0.2029446877362021,0.13253124999999993,0.05350000000000003
7,8,FDICAnat,longe90,2419,-0.14676985519773975,2.486150935165227,-0.1462913715897104,0.03915624999999999,0.013624999999999984
8,9,FDICAnat,longe90,2419,-5.932657364099318,13.432666709872434,-5.93479052954465,-0.25246875,-0.2120625
9,10,FDICAnat,longe90,2419,-0.2969249496122694,2.839356714726216,-0.29736934210170995,0.04859375000000003,0.02478125000000002
10,11,fastFDICA,longe90,2419,-0.6502280486551634,1.5881767818129355,-0.6505389379803408,0.18984374999999998,0.23
11,12,fastFDICA,longe90,2419,-0.5766642716480649,1.9717359793726787,-0.5767013316965262,0.10328124999999999,0.17600000000000002
12,13,fastFDICA,longe90,2419,-0.5233987253440274,3.0660612662062254,-0.5242166608977527,0.20509375000000005,0.21443749999999995
13,14,fastFDICA,longe90,2419,-0.44689910442822844,5.247166386910562,-0.4479389309073396,0.22015624999999994,0.23765625
14,15,fastFDICA,longe90,2419,-1.0123097377710708,5.101301213615525,-1.0133120290630169,0.24062500000000003,0.20021874999999997
