,parametrizacao,metodo,ensaio,ambiente,sdr,sir,sar,pesq8,pesq16
0,1,ICA_kurt,L90,cefala,-1.09674058141146,-12.075909587745668,-1.0883776891168737,-0.15949999999999986,-0.18299999999999994
1,1,ICA_kurt,L90,cefala,-0.7724733604444465,2.9938506049461306,-0.7739673368240263,-0.1120000000000001,-0.22050000000000003
2,1,ICA_kurt,L90,cefala,-0.7476129067601258,6.0300627067959045,-0.7482361362419749,-0.18299999999999983,-0.041999999999999926
3,1,ICA_kurt,L90,cefala,-0.7004860814677287,-16.411960734746252,-0.6928755310865937,-0.11349999999999993,-0.11549999999999994
4,1,ICA_kurt,L90,cefala,-1.4003529444437572,1.6697003923804044,-1.401811788508943,-0.14,-0.17949999999999988
5,1,ICA_kurt,L90,cefala,-0.9277096170414225,8.006876740407487,-0.9415114073021362,-0.13700000000000012,-0.23950000000000005
6,1,ICA_kurt,L90,cefala,-1.2569407016201675,-6.034792396282208,-1.256156676370367,-0.07299999999999984,-0.06249999999999989
7,1,ICA_kurt,L90,cefala,-1.0468683359268387,1.1761273027121444,-1.0470998891527046,-0.0944999999999998,-0.15650000000000008
8,1,ICA_kurt,L90,cefala,-1.2865274361815855,-10.881911055779895,-1.2827466477254288,-0.1565000000000002,-0.15500000000000003
9,1,ICA_kurt,L90,cefala,-0.8371361933662436,8.894440489074373,-0.8393968531850775,-0.06999999999999995,-0.1075000000000001
10,1,ICA_kurt,L90,cefala,-1.1115710379944126,3.331388973369526,-1.1117375356148225,-0.12549999999999994,-0.027000000000000024
11,1,ICA_kurt,L90,cefala,-0.8036865576781005,-20.42681366610545,-0.7991174999924668,-0.1200000000000001,-0.22749999999999992
12,1,ICA_kurt,L90,cefala,-1.1099205883394503,-7.708881226210925,-1.1043020599357098,-0.248,-0.1904999999999999
13,1,ICA_kurt,L90,cefala,-0.6962838042048789,0.18413966178179564,-0.697061610380068,-0.1539999999999998,-0.1725
14,1,ICA_kurt,L90,cefala,-1.0128308074147232,4.423491274924141,-1.013078706969417,-0.07250000000000001,-0.1379999999999999
15,1,ICA_kurt,L90,cefala,-0.5335155974667956,-11.118290307450795,-0.5265218157972358,-0.07300000000000006,-0.19349999999999978
16,2,ICA_negen,L90,cefala,-1.0886168894180015,-12.07835982403997,-1.0802236938978154,-0.1349999999999999,-0.08150000000000002
17,2,ICA_negen,L90,cefala,-0.7704687119158207,2.889514906031513,-0.7719489932910646,-0.20400000000000018,-0.21850000000000003
18,2,ICA_negen,L90,cefala,-0.8175760230590408,5.506726026740383,-0.8182259046379419,-0.17199999999999993,-0.07799999999999996
19,2,ICA_negen,L90,cefala,-0.7074700946861285,-16.378168867575102,-0.6999273929801437,-0.11099999999999999,-0.12349999999999994
20,2,ICA_negen,L90,cefala,-1.406120100657652,1.7464651316520428,-1.4075900618119634,-0.12099999999999989,-0.17899999999999994
21,2,ICA_negen,L90,cefala,-0.9268238147468022,8.052298199587073,-0.9405587518974894,-0.13249999999999995,-0.26649999999999996
